date,league,home,away,market,selection,line,odds_open,stake,result,pnl,equity,p_model,p_mkt
2025-08-16,F1,Monaco,Le Havre,AH,Home,-1.5,1.95,12.028245955217473,WIN,11.4268336574566,539.6312867961063,0.9565816103509348,
2025-08-16,SP1,Valencia,Sociedad,1X2,D,,2.9,14.649271319666335,WIN,27.833615507366034,567.4649023034724,0.7894737124443054,0.3277755185034567
2025-08-16,E0,Brighton,Fulham,AH,Home,-0.5,1.93,7.228024398219155,WIN,6.722062690343813,574.1869649938162,0.7636430467172258,
2025-08-17,E0,Nott'm Forest,Brentford,1X2,A,,3.5,6.790835665524695,LOSS,-6.790835665524695,567.3961293282915,0.49690842628479004,0.2738589211618257
2025-08-17,F1,Brest,Lille,1X2,H,,3.3,11.860223711386077,LOSS,-11.860223711386077,555.5359056169054,0.667247474193573,0.288135593220339
2025-08-17,SP1,Espanol,Ath Madrid,1X2,D,,3.9,9.991376355527304,LOSS,-9.991376355527304,545.5445292613781,0.5907489061355591,0.2418919959941453
2025-08-17,SP1,Celta,Getafe,1X2,D,,3.5,8.875815159157641,LOSS,-8.875815159157641,536.6687141022204,0.5762436389923096,0.2710182767624021
2025-08-17,F1,Angers,Paris FC,OU2.5,Over,2.5,2.2,2.7823675854575347,LOSS,-2.7823675854575347,533.8863465167628,0.5252434012830451,0.43152454780361754
2025-08-17,SP1,Ath Bilbao,Sevilla,OU2.5,Over,2.5,2.1,5.880997928624231,WIN,6.469097721486654,540.3554442382494,0.6204404061903592,0.4516971279373368
2025-08-18,SP1,Elche,Betis,OU2.5,Over,2.5,2.2,2.7252444231442303,LOSS,-2.7252444231442303,537.6301998151052,0.5233194890226225,0.43152454780361754
2025-08-22,D1,Bayern Munich,RB Leipzig,AH,Home,-2.0,1.93,12.587307897746886,WIN,11.706196344904603,549.3363961600098,0.9694030187253928,
2025-08-22,F1,Paris SG,Angers,AH,Home,-2.75,1.93,13.67852643182358,WIN,12.721029581595928,562.0574257416058,0.9980742990891814,
2025-08-22,SP1,Betis,Alaves,1X2,D,,3.4,13.60592362558622,LOSS,-13.60592362558622,548.4515021160196,0.7213062644004822,0.2785803583831088
2025-08-23,I1,Roma,Bologna,OU2.5,Over,2.5,2.1,2.703606496703893,LOSS,-2.703606496703893,545.7478956193157,0.5407438061632703,0.4516971279373368
2025-08-23,I1,Genoa,Lecce,1X2,D,,3.3,10.553303572961903,WIN,24.272598217812376,570.0204938371281,0.6399685144424438,0.28816986855409504
2025-08-23,I1,Sassuolo,Napoli,1X2,D,,4.0,13.430992639889515,LOSS,-13.430992639889515,556.5895011972386,0.6917930841445923,0.23727959697732998
2025-08-23,D1,Freiburg,Augsburg,1X2,A,,4.33,13.216911353505,WIN,44.01231480717165,600.6018160044102,0.6875,0.22010344200803078
2025-08-23,D1,Ein Frankfurt,Werder Bremen,OU2.5,Under,2.5,2.38,2.0604442090499915,LOSS,-2.0604442090499915,598.5413717953602,0.4698978264562503,0.39746835443037976
2025-08-23,SP1,Levante,Barcelona,OU2.5,Under,2.5,3.2,2.6669287188710555,LOSS,-2.6669287188710555,595.8744430764891,0.3890825714237647,0.2982456140350877
2025-08-23,E0,Burnley,Sunderland,1X2,H,,2.2,4.413789551970258,WIN,5.296547462364311,601.1709905388534,0.5555533766746521,0.4317656129529684
2025-08-23,SP1,Mallorca,Celta,OU2.5,Over,2.5,2.38,4.256047647540433,LOSS,-4.256047647540433,596.914942891313,0.5227924607973388,0.39746835443037976
2025-08-23,E0,Brentford,Aston Villa,1X2,H,,3.1,9.112289488075533,WIN,19.13580792495862,616.0507508162716,0.5811116695404053,0.30579150579150577
2025-08-23,F1,Lyon,Metz,OU2.5,Under,2.5,2.5,2.228590167633465,LOSS,-2.228590167633465,613.8221606486381,0.4542631471030731,0.3796526054590571
2025-08-23,D1,Heidenheim,Wolfsburg,1X2,A,,2.2,24.552886425945527,WIN,29.463463711134636,643.2856243597728,1.0,0.4317656129529684
2025-08-24,SP1,Sociedad,Espanol,OU2.5,Over,2.5,2.2,3.052841720105911,WIN,3.6634100641270937,646.9490344238999,0.5192595694630042,0.43152454780361754
2025-08-24,E0,Everton,Brighton,1X2,H,,3.1,8.461088997138031,WIN,17.768286893989867,664.7173213178897,0.5440704822540283,0.30420841683366734
2025-08-24,SP1,Osasuna,Valencia,1X2,D,,3.2,6.700189992551338,LOSS,-6.700189992551338,658.0171313253384,0.4857458472251892,0.2971246006389776
2025-08-24,I1,Atalanta,Pisa,1X2,D,,5.0,12.454091111101034,WIN,49.81636444440414,707.8334957697425,0.578533947467804,0.1891891891891892
2025-08-24,SP1,Oviedo,Real Madrid,AH,Away,1.5,1.95,1.8894095314299262,LOSS,-1.8894095314299262,705.9440862383126,0.5648373541875961,
2025-08-24,E0,Fulham,Man United,1X2,H,,3.25,10.391879314264305,LOSS,-10.391879314264305,695.5522069240483,0.5624709129333496,0.2906808305166586
2025-08-24,I1,Cagliari,Fiorentina,1X2,H,,3.25,21.509911631793763,LOSS,-21.509911631793763,674.0422952922545,0.8429316878318787,0.2916053019145803
2025-08-24,F1,Lille,Monaco,1X2,H,,3.1,25.806640200753584,WIN,54.19394442158253,728.236239713837,0.9709790349006653,0.30579150579150577
2025-08-24,D1,Mainz,FC Koln,1X2,D,,3.7,15.043623579205725,LOSS,-15.043623579205725,713.1926161346313,0.647132158279419,0.25823989126741415
2025-08-24,D1,M'gladbach,Hamburg,OU2.5,Under,2.5,2.5,3.813624823351833,WIN,5.720437235027749,718.913053369659,0.4802088679217044,0.3796526054590571
2025-08-24,F1,Lorient,Rennes,1X2,H,,2.8,7.76997954893554,WIN,13.98596318808397,732.8990165577429,0.530842125415802,0.33938294010889286
2025-08-24,F1,Strasbourg,Nantes,OU2.5,Over,2.5,1.93,4.194947014498269,LOSS,-4.194947014498269,728.7040695432446,0.5870868930519626,0.5
2025-08-25,I1,Udinese,Verona,1X2,D,,3.3,11.75414310197908,WIN,27.03452913455188,755.7385986777965,0.5840868353843689,0.28594420600858367
2025-08-25,E0,Newcastle,Liverpool,1X2,H,,3.25,23.28170947734536,LOSS,-23.28170947734536,732.4568892004512,0.8408828377723694,0.290644529428225
2025-08-25,SP1,Ath Bilbao,Vallecano,1X2,D,,3.5,13.155837333527769,LOSS,-13.155837333527769,719.3010518669234,0.6064507961273193,0.27062228654124454
2025-08-25,SP1,Sevilla,Getafe,1X2,D,,3.0,9.470855891278683,LOSS,-9.470855891278683,709.8301959756448,0.5527791380882263,0.31578947368421056
2025-08-25,I1,Inter,Torino,AH,Home,-1.25,1.93,15.815132378611782,WIN,14.708073112108956,724.5382690877537,0.947576196311341,
2025-08-27,SP1,Celta,Betis,1X2,H,,2.2,2.921195431587815,LOSS,-2.921195431587815,721.617073656166,0.5095245838165283,0.43029595015576316
2025-08-29,D1,Hamburg,St Pauli,1X2,D,,3.3,11.824304319802897,LOSS,-11.824304319802897,709.7927693363631,0.5885412096977234,0.2877697841726619
